id,source,ref,license,credit,crop,aspect,notes
myth-culture-2,commons,search:Carrey drawing west pediment Parthenon|Carrey|pediment,,,,3:2,Carrey drawing of the west pediment (public domain)
myth-3-a,commons,search:Danae bronze chamber red-figure|Danae|Danaë,,,,3:2,"Danae seated in the chamber, or Akrisios with Danae"
myth-3-b,commons,search:Danae Perseus chest hydria|Danae|Danaë,,,,3:2,"Danae and Perseus with the chest (e.g. Boston 13.200 by the Gallatin Painter, or a CC Commons photo)"
myth-3-c,met,search:Perseus Medusa Pan Painter hydria|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,3:2,"Met 45.11.1, Perseus with the head of Medusa (CC0)"
myth-larnax,commons,search:Danae larnax chest vase|Danae|chest,,,,1:1,Crop to the chest
myth-pedila,met,search:Hermes winged boots|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,Crop to the winged sandals/boots of Hermes or Perseus
myth-culture-3,commons,search:Aegeus Themis kylix Berlin|Aegeus|Themis,,,,3:2,"Berlin F 2538, Aegeus and Themis (CC photo on Commons)"
myth-4-a,commons,search:Alcmene vase Amphitryon|Alcmene|Alkmene,,,,3:2,A vase with Alcmene / Amphitryon (e.g. the Paestan krater by Python); CC photo
myth-4-b,commons,search:Herakles strangling snakes stamnos Louvre|Herakles|Heracles,,,,3:2,Louvre G 192 or another CC photo of infant Heracles and the snakes
myth-4-c,commons,search:Pistoxenos Painter skyphos Schwerin Geropso|Schwerin|Pistoxenos,,,,3:2,"Schwerin skyphos, Heracles and Geropso"
myth-eune,met,search:terracotta cradle|cradle|Cradle,,,,1:1,"A cradle, or a bed with a sleeper"
myth-kithara,met,search:kithara player Berlin Painter amphora|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,"Met 56.171.38, kitharode by the Berlin Painter (CC0)"
myth-culture-4,commons,search:Herakles Linos Douris kylix Munich|Linos|Linus,,,,3:2,"Munich 2646, Heracles killing Linus (CC photo)"
myth-5-a,met,search:Herakles Eurystheus|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,3:2,"Heracles and Eurystheus, or Heracles setting out with club and bow"
myth-5-b,met,search:Herakles Nemean lion amphora|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,3:2,Heracles strangling the Nemean lion (many CC0 Met examples)
myth-5-c,commons,search:Eurystheus pithos Herakles boar|Eurystheus|pithos,,,,3:2,Eurystheus in the pithos (e.g. Louvre F 202); CC photo
myth-leon,met,search:marble lion Greek funerary|lion|Lion,,,,1:1,"A Greek marble lion (Met 09.221.4 or similar, CC0)"
myth-rhopalon,met,search:bronze statuette Herakles club|statuette|Statuette,,,,1:1,Bronze Heracles with club; crop to the club
myth-pithos,met,search:terracotta pithos storage jar|pithos|Pithos,,,,1:1,A pithos (Met CC0)
myth-culture-5,commons,search:Olympia metope Nemean lion Heracles|metope|Metope,,,,3:2,"Olympia metope 1 (Nemean lion), CC photo"
myth-6-a,met,search:ship sail black-figure|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros|dinos,,,,3:2,A ship with a single square sail
myth-6-b,commons,search:Ariadne Theseus thread vase|Ariadne|Ariadna,,,,3:2,Ariadne and Theseus with the thread (CC photo)
myth-6-c,met,search:Theseus Minotaur amphora|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,3:2,Theseus and the Minotaur (CC0 Met example)
myth-histion,met,search:ship sail kylix|kylix|krater|amphora|lekythos|hydria|pelike|oinochoe|skyphos|stamnos|chous|pyxis|lekanis|alabastron|aryballos|loutrophoros,,,,1:1,Crop to the sail
myth-culture-6,commons,search:Aison kylix Theseus Minotaur Madrid|Aison|Minotaur,,,,3:2,"Madrid 11265, the Aison cup (CC BY-SA photo)"
